venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,"JD Ryder, R Bishnoi, JH Kallis, SP Goswami","IK Pathan, VS Malik, YA Abdulla",38
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,"Yuvraj Singh, K Goel","P Kumar, JD Ryder, JH Kallis",35
St George's Park,1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist, HH Gibbs, AA Bilakhia","MM Patel, SM Harwood, RA Jadeja, YK Pathan",39
St George's Park,2,Rajasthan Royals,Deccan Chargers,"NV Ojha, LA Carseldine, SA Asnodkar, GC Smith, RA Jadeja","DR Smith, FH Edwards, RP Singh",30
New Wanderers Stadium,1,Chennai Super Kings,Delhi Capitals,"ML Hayden, M Vijay, SK Raina","DP Nannes, PJ Sangwan, A Nehra",53
New Wanderers Stadium,2,Delhi Capitals,Chennai Super Kings,"TM Dilshan, G Gambhir, AB de Villiers, DA Warner","S Tyagi, JA Morkel",49
St George's Park,1,Kolkata Knight Riders,Punjab Kings,"BB McCullum, BJ Hodge, CH Gayle","IK Pathan, VS Malik, YA Abdulla, RR Powar",28
St George's Park,2,Punjab Kings,Kolkata Knight Riders,"SM Katich, S Sohal, DPMD Jayawardene, KC Sangakkara","AB Dinda, CH Gayle, AB Agarkar, I Sharma",51
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"JP Duminy, ST Jayasuriya, AM Rahane, DJ Bravo, SR Tendulkar","P Kumar, D du Preez, JH Kallis",25
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"W Jaffer, JH Kallis, RV Uthappa","DJ Bravo, AM Nayar, SL Malinga, Z Khan",51
Buffalo Park,1,Chennai Super Kings,Deccan Chargers,"ML Hayden, M Vijay","RJ Harris, RG Sharma, DR Smith, RP Singh",53
Buffalo Park,2,Deccan Chargers,Chennai Super Kings,"VVS Laxman, HH Gibbs, DR Smith, RG Sharma, AC Gilchrist","L Balaji, S Tyagi, JA Morkel",52
Kingsmead,1,Rajasthan Royals,Punjab Kings,"GC Smith, NV Ojha","IK Pathan, YA Abdulla, RR Powar, S Sreesanth",57
Kingsmead,2,Punjab Kings,Rajasthan Royals,"K Goel, SM Katich, KC Sangakkara, S Sohal, DPMD Jayawardene","A Singh, SK Trivedi, SM Harwood, YK Pathan",29
Kingsmead,1,Kolkata Knight Riders,Delhi Capitals,"BB McCullum, MN van Wyk","DP Nannes, PJ Sangwan, A Nehra, A Mishra",54
Kingsmead,2,Delhi Capitals,Kolkata Knight Riders,"G Gambhir, DA Warner","MC Henriques, AB Dinda, BJ Hodge, I Sharma",57
SuperSport Park,1,Deccan Chargers,Mumbai Indians,"RG Sharma, AC Gilchrist, HH Gibbs, TL Suman","DS Kulkarni, Harbhajan Singh, SL Malinga, DJ Bravo",37
SuperSport Park,2,Mumbai Indians,Deccan Chargers,"PR Shah, SR Tendulkar, ST Jayasuriya, JP Duminy","RJ Harris, DR Smith, Harmeet Singh, RP Singh",41
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,"W Jaffer, JH Kallis, R Dravid, V Kohli, RV Uthappa","A Singh, M Morkel, LA Carseldine, MM Patel",29
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,"LA Carseldine, GC Smith, NV Ojha","P Kumar, D du Preez, JH Kallis",31
SuperSport Park,1,Chennai Super Kings,Punjab Kings,"ML Hayden, S Badrinath, SK Raina","IK Pathan, YA Abdulla, S Sreesanth, VRV Singh",57
SuperSport Park,2,Punjab Kings,Chennai Super Kings,"SM Katich, S Sohal, K Goel","MS Gony, S Tyagi, JA Morkel, M Muralitharan",53
Buffalo Park,1,Mumbai Indians,Delhi Capitals,"SR Tendulkar, JP Duminy, L Ronchi, PR Shah","DP Nannes, PJ Sangwan, A Nehra",30
Buffalo Park,2,Delhi Capitals,Mumbai Indians,"G Gambhir, DA Warner","DS Kulkarni, SL Malinga",36
De Beers Diamond Oval,1,Deccan Chargers,Punjab Kings,"AC Gilchrist, HH Gibbs, TL Suman","B Lee, IK Pathan, S Sreesanth",52
De Beers Diamond Oval,2,Punjab Kings,Deccan Chargers,"SM Katich, S Sohal, KC Sangakkara, Yuvraj Singh","Shoaib Ahmed, RP Singh, RJ Harris, Y Venugopal Rao, RG Sharma",45
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,"GC Smith, SA Asnodkar, NV Ojha","L Balaji, S Tyagi, JA Morkel, JDP Oram",34
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,"ML Hayden, M Vijay, SK Raina","A Singh, SK Trivedi, SM Harwood, YK Pathan",37
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,"SR Tendulkar, ST Jayasuriya, AM Rahane","R Vinay Kumar, A Mithun, JH Kallis",46
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,"LRPL Taylor, JH Kallis, V Kohli, RV Uthappa","DS Kulkarni, SL Malinga, DJ Bravo",39
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Capitals,"Yashpal Singh, SC Ganguly, MN van Wyk, BB McCullum, BJ Hodge","DP Nannes, PJ Sangwan, A Nehra",37
New Wanderers Stadium,2,Delhi Capitals,Kolkata Knight Riders,"G Gambhir, DA Warner","AB Agarkar, I Sharma, MC Henriques, BJ Hodge, SS Sarkar",47
De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,"RG Sharma, AC Gilchrist, TL Suman","MM Patel, SK Trivedi, M Morkel, YK Pathan",42
De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,"LA Carseldine, GC Smith, SA Asnodkar, NV Ojha","WPUJC Vaas, A Symonds, RP Singh",30
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, SC Ganguly, AN Ghosh, DJ Hussey","R Vinay Kumar, JH Kallis",38
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,"JD Ryder, JH Kallis","AD Mathews, AB Agarkar, I Sharma, BAW Mendis, DJ Hussey",46
SuperSport Park,1,Punjab Kings,Mumbai Indians,"Yuvraj Singh, IK Pathan, SM Katich, KC Sangakkara, S Sohal","DS Kulkarni, SL Malinga, DJ Bravo",51
SuperSport Park,2,Mumbai Indians,Punjab Kings,"DJ Bravo, SR Tendulkar, ST Jayasuriya, AM Rahane","B Lee, IK Pathan, PP Chawla, S Sreesanth",42
Kingsmead,1,Delhi Capitals,Deccan Chargers,"TM Dilshan, G Gambhir, DA Warner","WPUJC Vaas, Shoaib Ahmed, A Symonds, RP Singh",56
Kingsmead,2,Deccan Chargers,Delhi Capitals,"DB Ravi Teja, RG Sharma, AC Gilchrist, TL Suman","DP Nannes, PJ Sangwan, A Nehra",50
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,"ML Hayden, MS Dhoni, M Vijay, SK Raina","P Kumar, R Vinay Kumar, JH Kallis, A Kumble",52
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,"LRPL Taylor, JH Kallis, R Dravid, V Kohli, RV Uthappa","L Balaji, S Tyagi, JA Morkel",33
Kingsmead,1,Rajasthan Royals,Mumbai Indians,"GC Smith, RJ Quiney","DS Kulkarni, JP Duminy, SL Malinga, DJ Bravo",42
Kingsmead,2,Mumbai Indians,Rajasthan Royals,"YV Takawale, ST Jayasuriya, AM Rahane, DJ Bravo, SR Tendulkar","MM Patel, SK Trivedi, SK Warne, YK Pathan",26
OUTsurance Oval,1,Delhi Capitals,Punjab Kings,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","B Lee, IK Pathan, PP Chawla, S Sreesanth",38
OUTsurance Oval,2,Punjab Kings,Delhi Capitals,"Yuvraj Singh, LA Pomersbach, SM Katich, KC Sangakkara, S Sohal","PJ Sangwan, A Nehra, MF Maharoof",37
St George's Park,1,Mumbai Indians,Chennai Super Kings,"DJ Bravo, JP Duminy, ST Jayasuriya","S Tyagi, JA Morkel",49
St George's Park,2,Chennai Super Kings,Mumbai Indians,"ML Hayden, PA Patel, S Badrinath, SK Raina","DS Kulkarni, SL Malinga, DJ Bravo",35
New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,"BB McCullum, BJ Hodge, SC Ganguly","RJ Harris, A Symonds, RP Singh",31
New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, HH Gibbs","M Kartik, BJ Hodge, Mashrafe Mortaza, I Sharma",50
New Wanderers Stadium,1,Punjab Kings,Deccan Chargers,"Yuvraj Singh, LA Pomersbach, SM Katich, KC Sangakkara, S Sohal","RJ Harris, A Symonds, RP Singh",39
New Wanderers Stadium,2,Deccan Chargers,Punjab Kings,"A Symonds, AC Gilchrist, HH Gibbs, TL Suman","B Lee, IK Pathan, RR Powar, S Sreesanth",46
OUTsurance Oval,1,Delhi Capitals,Rajasthan Royals,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","MM Patel, SK Trivedi, A Singh",35
OUTsurance Oval,2,Rajasthan Royals,Delhi Capitals,"NV Ojha, GC Smith, RJ Quiney, J Botha","DP Nannes, AM Salvi, A Nehra, MF Maharoof",24
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,"GJ Bailey, PA Patel","AB Agarkar, M Kartik, BJ Hodge, AB Dinda, Anureet Singh",54
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,"BB McCullum, BJ Hodge, SC Ganguly","S Tyagi, JA Morkel, M Muralitharan",56
New Wanderers Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"V Sehwag, G Gambhir, AB de Villiers, M Manhas","P Kumar, B Akhil, JH Kallis",37
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"R Dravid, JH Kallis, RV Uthappa","AM Salvi, A Nehra, MF Maharoof",27
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,"J Botha, NV Ojha, SA Asnodkar, Niraj Patel, RJ Quiney, YK Pathan","BJ Hodge, AB Dinda, AB Agarkar, CK Langeveldt",46
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,"Yashpal Singh, SC Ganguly, BB McCullum, BJ Hodge, DJ Hussey","MM Patel, A Singh",29
Kingsmead,1,Chennai Super Kings,Punjab Kings,"GJ Bailey, PA Patel, SK Raina","B Lee, IK Pathan, RR Powar, S Sreesanth",50
Kingsmead,2,Punjab Kings,Chennai Super Kings,"LA Pomersbach, SM Katich, S Sohal","MS Gony, T Thushara, R Ashwin, M Muralitharan",29
SuperSport Park,1,Mumbai Indians,Delhi Capitals,"JP Duminy, ST Jayasuriya, Mohammad Ashraful, AM Rahane, SR Tendulkar","DP Nannes, AM Salvi, PJ Sangwan",30
SuperSport Park,2,Delhi Capitals,Mumbai Indians,"V Sehwag, G Gambhir, DA Warner","DS Kulkarni, RA Shaikh, SL Malinga",60
SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,"RE van der Merwe, JH Kallis, MK Pandey","RJ Harris, A Symonds, RP Singh",33
SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, HH Gibbs","P Kumar, RE van der Merwe, JH Kallis, A Kumble",64
SuperSport Park,1,Delhi Capitals,Deccan Chargers,"TM Dilshan, V Sehwag, G Gambhir, DA Warner","RJ Harris, PP Ojha, RP Singh",49
SuperSport Park,2,Deccan Chargers,Delhi Capitals,"AC Gilchrist, HH Gibbs, AA Bilakhia","DP Nannes, TM Dilshan, V Sehwag, PJ Sangwan, A Nehra",84
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"ML Hayden, PA Patel","P Kumar, R Vinay Kumar, JH Kallis, A Kumble",52
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"RE van der Merwe, R Dravid, JH Kallis, MK Pandey","MS Gony, SB Jakati, JA Morkel",59
New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"A Symonds, AC Gilchrist, HH Gibbs, TL Suman","P Kumar, R Vinay Kumar, JH Kallis, A Kumble",31
New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"RE van der Merwe, JH Kallis, MK Pandey","RJ Harris, A Symonds, RP Singh",36
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,"OA Shah, AD Mathews, MK Tiwary, SC Ganguly, BJ Hodge, CA Pujara","Jaskaran Singh, RP Singh, WPUJC Vaas",38
Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, VVS Laxman","M Kartik, CK Langeveldt, I Sharma, LR Shukla",62
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,"SR Tendulkar, ST Jayasuriya, AP Tare","SW Tait, A Uniyal, AD Mascarenhas, Kamran Khan",69
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,"AA Jhunjhunwala, GC Smith, NV Ojha","AG Murtaza, SL Malinga, Z Khan, R McLaren",39
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Delhi Capitals,"MS Bisla, RS Bopara, Yuvraj Singh, KC Sangakkara","DP Nannes, PJ Sangwan, MF Maharoof",44
"Punjab Cricket Association Stadium, Mohali",2,Delhi Capitals,Punjab Kings,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","IK Pathan, S Sreesanth",39
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"V Kohli, JH Kallis, MK Pandey, SP Goswami","M Kartik, AD Mathews, CK Langeveldt, I Sharma",24
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"BJ Hodge, MK Tiwary","P Kumar, DW Steyn, JH Kallis, A Kumble",61
MA Chidambaram Stadium,1,Deccan Chargers,Chennai Super Kings,"A Symonds, AC Gilchrist, HH Gibbs, VVS Laxman","R Ashwin, S Tyagi, JA Morkel, M Muralitharan",57
MA Chidambaram Stadium,2,Chennai Super Kings,Deccan Chargers,"M Vijay, JM Kemp, SK Raina, S Badrinath, ML Hayden, MS Dhoni","PP Ojha, RG Sharma, RP Singh, WPUJC Vaas",34
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Capitals,"YK Pathan, GC Smith, SA Asnodkar, NV Ojha","DP Nannes, A Mishra, MF Maharoof",47
"Sardar Patel Stadium, Motera",2,Delhi Capitals,Rajasthan Royals,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","MM Patel, SW Tait, AD Mascarenhas",60
M.Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,"MS Bisla, RS Bopara","P Kumar, DW Steyn, JH Kallis",50
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,"JH Kallis, MK Pandey","IK Pathan, YA Abdulla, S Sreesanth",61
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"ML Hayden, M Vijay, SK Raina","SE Bond, AD Mathews, I Sharma, LR Shukla",31
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"OA Shah, MK Tiwary, SC Ganguly, WP Saha, BJ Hodge","L Balaji, MS Gony, JA Morkel",45
Feroz Shah Kotla,1,Mumbai Indians,Delhi Capitals,"SR Tendulkar, ST Jayasuriya, AP Tare","DP Nannes, PJ Sangwan, S Ladda, MF Maharoof",67
Feroz Shah Kotla,2,Delhi Capitals,Mumbai Indians,"TM Dilshan, V Sehwag, AB de Villiers","DJ Bravo, SL Malinga, Z Khan, KA Pollard",56
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"MJ Lumb, DR Martyn, NV Ojha","P Kumar, R Vinay Kumar, DW Steyn, JH Kallis",31
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"JH Kallis, MK Pandey","MM Patel, SK Warne, M Morkel",59
Feroz Shah Kotla,1,Delhi Capitals,Chennai Super Kings,"TM Dilshan, V Sehwag, DA Warner","L Balaji, R Ashwin, Joginder Sharma, JA Morkel",52
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Capitals,"ML Hayden, PA Patel, S Badrinath","DP Nannes, PJ Sangwan, UT Yadav, R Bhatia",56
Barabati Stadium,1,Deccan Chargers,Punjab Kings,"A Symonds, AC Gilchrist, HH Gibbs, VVS Laxman","IK Pathan, PP Chawla, SJ Srivastava, S Sreesanth",56
Barabati Stadium,2,Punjab Kings,Deccan Chargers,"Yuvraj Singh, KC Sangakkara, MS Bisla, RS Bopara, DPMD Jayawardene","A Symonds, RP Singh, WPUJC Vaas",27
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,"AA Jhunjhunwala, NV Ojha, FY Fazal, MJ Lumb","SE Bond, AB Dinda, AD Mathews, I Sharma",56
"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,"BJ Hodge, MK Tiwary, CA Pujara","MM Patel, SW Tait, SK Trivedi, YK Pathan",38
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"SS Tiwary, SR Tendulkar, ST Jayasuriya, AP Tare","P Kumar, R Vinay Kumar, DW Steyn, JH Kallis",45
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"JH Kallis, MK Pandey","DJ Bravo, SL Malinga, Z Khan, KA Pollard",55
Barabati Stadium,1,Deccan Chargers,Delhi Capitals,"A Symonds, AC Gilchrist, MD Mishra, HH Gibbs","DP Nannes, Y Nagar, S Ladda, A Mishra",47
Barabati Stadium,2,Delhi Capitals,Deccan Chargers,"V Sehwag, AB de Villiers, DA Warner","PP Ojha, RG Sharma, RP Singh, WPUJC Vaas",48
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,"IK Pathan, RS Bopara, KC Sangakkara","L Balaji, R Ashwin, MS Gony, JA Morkel",38
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,"ML Hayden, PA Patel","IK Pathan, RR Powar, SJ Srivastava, J Theron",42
MA Chidambaram Stadium,3,Chennai Super Kings,Punjab Kings,"ML Hayden, JA Morkel, SK Raina",J Theron,9
MA Chidambaram Stadium,4,Punjab Kings,Chennai Super Kings,"Yuvraj Singh, DPMD Jayawardene",M Muralitharan,10
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,"CH Gayle, SC Ganguly","DJ Bravo, SL Malinga, Z Khan, R McLaren",41
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,"SR Tendulkar, S Dhawan","SE Bond, CH Gayle, I Sharma",57
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"R Dravid, JH Kallis, MK Pandey","L Balaji, S Tyagi, JA Morkel",38
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"ML Hayden, PA Patel, GJ Bailey","P Kumar, DW Steyn, JH Kallis, A Kumble",29
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Punjab Kings,"NV Ojha, FY Fazal, MJ Lumb","IK Pathan, SJ Srivastava, S Sreesanth",53
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Rajasthan Royals,"MS Bisla, RS Bopara, KC Sangakkara","MM Patel, SW Tait, SK Warne",76
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,"ML Hayden, PA Patel, S Badrinath, SK Raina","DJ Bravo, Z Khan, Harbhajan Singh, R McLaren",51
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,"SR Tendulkar, S Dhawan","L Balaji, Joginder Sharma, JA Morkel",63
"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,"A Symonds, AC Gilchrist, HH Gibbs, VVS Laxman","S Narwal, SW Tait, SK Trivedi, AA Jhunjhunwala",55
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,"NV Ojha, MJ Lumb","RG Sharma, RP Singh, WPUJC Vaas, R Sharma",54
"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Punjab Kings,"Mandeep Singh, MK Tiwary, CH Gayle, SC Ganguly","B Lee, IK Pathan, VS Malik, SJ Srivastava",50
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Kolkata Knight Riders,"MS Bisla, RS Bopara, Yuvraj Singh, KC Sangakkara","SE Bond, AB Dinda, CH Gayle, AB Agarkar",42
M.Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"KD Karthik, V Sehwag, AB de Villiers, DA Warner","P Kumar, R Vinay Kumar, DW Steyn, JH Kallis",64
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"JH Kallis, MK Pandey","DP Nannes, PJ Sangwan, UT Yadav",46
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,"NV Ojha, FY Fazal, MJ Lumb","T Thushara, JA Morkel, M Muralitharan",58
"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,"ML Hayden, M Vijay, SK Raina","S Narwal, SW Tait, YK Pathan",58
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"DJ Bravo, SR Tendulkar, S Dhawan","PP Ojha, Jaskaran Singh, RP Singh, KAJ Roach",52
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"MD Mishra, AC Gilchrist, HH Gibbs, A Symonds","Z Khan, Harbhajan Singh, SL Malinga, R McLaren",50
Feroz Shah Kotla,1,Delhi Capitals,Kolkata Knight Riders,"KD Karthik, V Sehwag, G Gambhir, PD Collingwood, DA Warner","CH Gayle, CK Langeveldt, I Sharma, DJ Hussey",62
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Capitals,"CH Gayle, MK Tiwary, SC Ganguly, Mandeep Singh, DJ Hussey","DP Nannes, AB McDonald, A Mishra",36
Brabourne Stadium,1,Punjab Kings,Mumbai Indians,"SE Marsh, MS Bisla, RS Bopara, DPMD Jayawardene","Z Khan, Harbhajan Singh, SL Malinga, R McLaren",48
Brabourne Stadium,2,Mumbai Indians,Punjab Kings,"SR Tendulkar, KA Pollard, S Dhawan","B Lee, IK Pathan, PP Chawla, VS Malik, SJ Srivastava",45
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"JH Kallis, MK Pandey, RV Uthappa","MS Gony, T Thushara, JA Morkel",52
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"ML Hayden, M Vijay","P Kumar, DW Steyn, JH Kallis, A Kumble",56
Feroz Shah Kotla,1,Delhi Capitals,Rajasthan Royals,"KM Jadhav, V Sehwag, G Gambhir, PD Collingwood, DA Warner","S Narwal, SW Tait, AC Voges, YK Pathan",52
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Capitals,"AA Jhunjhunwala, NV Ojha, FY Fazal, AC Voges, MJ Lumb, YK Pathan","AB McDonald, UT Yadav, A Mishra, MF Maharoof",39
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,"CH Gayle, SC Ganguly, CA Pujara","A Symonds, Jaskaran Singh, Harmeet Singh, KAJ Roach",46
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,"MD Mishra, AC Gilchrist, HH Gibbs","SE Bond, MB Parmar, AB Agarkar, M Kartik",59
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,"SE Marsh, MS Bisla, KC Sangakkara","P Kumar, R Vinay Kumar, DW Steyn, JH Kallis",41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,"KP Pietersen, JH Kallis, MK Pandey","B Lee, PP Chawla, SJ Srivastava, S Sreesanth",51
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,"ML Hayden, M Vijay, SK Raina","S Narwal, SW Tait, SB Wagh, SR Watson, YK Pathan",66
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,"NV Ojha, MJ Lumb","DE Bollinger, S Tyagi, JA Morkel",62
Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,"SR Tendulkar, S Dhawan","RJ Harris, Jaskaran Singh, RG Sharma, A Symonds",53
Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,"A Symonds, AC Gilchrist, HH Gibbs, VVS Laxman","DJ Bravo, Harbhajan Singh, SL Malinga, Z Khan",40
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,"CH Gayle, SC Ganguly","IK Pathan, RR Powar, SJ Srivastava, J Theron",53
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,"MS Bisla, DPMD Jayawardene, KC Sangakkara","SE Bond, JD Unadkat, M Kartik, CH Gayle",69
Feroz Shah Kotla,1,Delhi Capitals,Royal Challengers Bangalore,"PD Collingwood, V Sehwag, G Gambhir, DA Warner","R Vinay Kumar, A Mithun, JH Kallis, A Kumble",54
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Capitals,"KP Pietersen, CL White, JH Kallis","DL Vettori, A Mishra, MF Maharoof",38
"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,"NV Ojha, SR Watson, FY Fazal, MJ Lumb","A Symonds, RP Singh, RJ Harris, Harmeet Singh, DR Smith",48
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,"RG Sharma, AC Gilchrist, VVS Laxman, A Symonds","AP Dole, SR Watson, M Morkel, YK Pathan",52
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"ML Hayden, M Vijay, SK Raina","Harbhajan Singh, SL Malinga, R McLaren",42
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"SR Tendulkar, S Dhawan","DE Bollinger, S Tyagi, R Ashwin",46
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,"MS Bisla, DPMD Jayawardene, KC Sangakkara","AP Dole, SR Watson, YK Pathan",52
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,"NV Ojha, MJ Lumb","PP Chawla, RR Powar, S Sreesanth, J Theron",70
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"CH Gayle, SC Ganguly","PJ Sangwan, A Mishra, DL Vettori, MF Maharoof",50
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"V Sehwag, G Gambhir, DA Warner","AB Dinda, AD Mathews, AB Agarkar, BAW Mendis",44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"R Dravid, JH Kallis, MK Pandey","RJ Harris, MR Marsh, Harmeet Singh, RP Singh",46
M.Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, MD Mishra, TL Suman","P Kumar, DW Steyn, JH Kallis, A Kumble",32
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Punjab Kings,"SR Tendulkar, AT Rayudu, S Dhawan","B Lee, IK Pathan, PP Chawla, L Ablish",51
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Mumbai Indians,"KC Sangakkara, DPMD Jayawardene, AB Barath","Z Khan, Harbhajan Singh, SL Malinga, R McLaren",56
